#date precip TMax Tmin
   
19501028 0.53 47 42
19501029 0.07 49 42
19501030 0.39 47 40
19501031 0.14 50 37
19501101 0.64 50 42
19501102 0.05 54 43
19501103 0.00 64 54
19501104 0.08 57 46
19501105 0.00 49 43
19501106 0.18 51 41
19501107 0.00 46 39
19501108 0.00 47 35
19501109 0.00 53 32
19501110 0.00 47 35
19501111 0.00 44 34
19501112 0.00 48 29
19501113 0.11 41 27
19501114 0.01 41 32
19501115 0.37 46 36
19501116 0.27 44 37
19501117 0.15 40 34
19501118 0.00 43 29
19501119 0.47 43 25
19501120 0.88 52 40
19501121 0.27 53 42
19501122 0.47 48 40
19501123 1.13 52 41
19501124 0.21 55 46
19501125 0.31 57 46
19501126 0.50 60 49
19501127 0.62 51 44
19501128 0.09 51 41
19501129 0.00 41 36
19501130 1.17 37 32
19501201 0.14 37 30
19501202 0.06 44 36
19501203 0.25 41 37
19501204 0.06 42 36
19501205 0.67 45 39
19501206 0.63 52 41
19501207 0.13 46 41
19501208 0.02 53 37
19501209 0.50 52 47
19501210 0.00 58 45
19501211 0.22 53 43
19501212 0.00 50 37
19501213 0.00 43 33
19501214 0.22 47 38
19501215 0.39 50 41
19501216 0.28 50 43
19501217 0.09 53 42
19501218 0.06 47 40
19501219 0.21 55 43
19501220 0.39 52 44
19501221 0.08 53 45
19501222 0.61 54 46
19501223 0.80 58 52
19501224 0.09 55 48
19501225 0.00 48 41
19501226 0.16 46 38
19501227 0.14 46 41
19501228 0.00 47 41
19501229 0.06 52 44
19501230 0.88 51 31
19501231 0.00 43 33
19510101 0.23 45 37
19510102 0.98 46 39
19510103 0.10 42 36
19510104 0.17 40 35
19510105 0.03 43 31
19510106 0.00 45 31
19510107 0.03 40 30
19510108 0.00 46 32
19510109 0.00 44 32
19510110 0.17 45 39
19510111 0.02 47 36
19510112 0.03 44 40
19510113 0.08 46 40
19510114 0.68 44 35
19510115 0.47 48 32
19510116 0.37 42 32
19510117 0.03 42 32
19510118 0.32 40 32
19510119 0.19 40 32
19510120 0.56 42 32
19510121 1.13 43 34
19510122 0.04 44 34
19510123 0.19 41 36
19510124 0.47 54 39
19510125 0.51 53 42
19510126 0.00 43 33
19510127 0.00 33 19
19510128 0.00 27 15
19510129 0.00 32 15
19510130 0.00 33 11
19510131 0.00 33 19
19510201 0.64 40 28
19510202 0.49 47 36
19510203 0.30 45 37
19510204 0.00 48 35
19510205 0.00 45 31
19510206 0.38 41 31
